20 # total generations
20 # population p1
20 # population p2
0.25515 0.401553 0 9
0.269727 0.323381 0 9
0.236524 0.343155 0 9
0.323231 0.350182 0 9
0.335784 0.782831 0 9
0.21159 0.408252 0 9
0.292857 0.769229 0 9
0.284891 0.36039 0 9
0.24234 0.704852 0 9
0.193332 0.338425 0 9
0.2224 0.217743 0.360564 29
0.230862 0.230962 0.358103 29
0.227111 0.228726 0.358053 29
0.22927 0.23546 0.357827 29
0.230953 0.236739 0.357765 29
0.221007 0.234188 0.357189 29
0.234477 0.23586 0.354269 29
0.235378 0.233979 0.353454 29
0.23891 0.221005 0.349954 29
0.241038 0.212385 0.346587 29
0.210561 0.204266 0 29
0.188668 0.218764 0 29
0.216116 0.234591 0 29
0.221375 0.237043 0 29
0.180432 0.197285 0 29
0.217794 0.222118 0 29
0.230449 0.195656 0 29
0.222689 0.205414 0 29
0.258424 0.227353 0 29
0.196538 0.171847 0 29
0.269727 0.323381 1.26974 10
0.193332 0.338425 1.03608 10
0.284208 0.342806 1.01959 10
0.25515 0.401553 0.915124 10
0.284891 0.36039 0.902119 10
0.21159 0.408252 0.882309 10
0.315472 0.334999 0.83159 10
0.302885 0.37077 0.697719 10
0.323231 0.350182 0.67459 10
0.312408 0.370176 0.629259 10
0.233183 0.364885 0 10
0.221065 0.358134 0 10
0.306722 0.377509 0 10
0.207987 0.315687 0 10
0.238948 0.359517 0 10
0.236478 0.335121 0 10
0.277677 0.331322 0 10
0.275887 0.336753 0 10
0.261368 0.351275 0 10
0.225379 0.352587 0 10
0.22927 0.23546 0.66848 30
0.221375 0.237043 0.667394 30
0.230862 0.230962 0.6667 30
0.234477 0.23586 0.665948 30
0.221007 0.234188 0.665891 30
0.216116 0.234591 0.665542 30
0.227111 0.228726 0.664917 30
0.235378 0.233979 0.664311 30
0.217794 0.222118 0.661223 30
0.2224 0.217743 0.661054 30
0.214563 0.235125 0 30
0.214923 0.218859 0 30
0.222694 0.248913 0 30
0.212558 0.248915 0 30
0.197212 0.216532 0 30
0.213489 0.244866 0 30
0.274556 0.233877 0 30
0.258885 0.251183 0 30
0.239471 0.190082 0 30
0.238157 0.224496 0 30
0.207987 0.315687 0.821395 11
0.225379 0.352587 0.751694 11
0.269727 0.323381 0.740779 11
0.221065 0.358134 0.699269 11
0.238948 0.359517 0.69806 11
0.233183 0.364885 0.68216 11
0.277677 0.331322 0.626056 11
0.261368 0.351275 0.611151 11
0.275887 0.336753 0.60343 11
0.284208 0.342806 0.494943 11
0.259742 0.383313 0 11
0.248381 0.371955 0 11
0.228723 0.462971 0 11
0.225721 0.297847 0 11
0.212591 0.344829 0 11
0.245184 0.332632 0 11
0.224861 0.328599 0 11
0.214236 0.337004 0 11
0.225819 0.321092 0 11
0.216331 0.332882 0 11
0.213489 0.244866 0.43477 31
0.222694 0.248913 0.433019 31
0.214563 0.235125 0.415435 31
0.216116 0.234591 0.413043 31
0.221375 0.237043 0.412544 31
0.221007 0.234188 0.408072 31
0.217794 0.222118 0.390955 31
0.22927 0.23546 0.390556 31
0.214923 0.218859 0.388702 31
0.227111 0.228726 0.385292 31
0.201737 0.209249 0 31
0.232154 0.25529 0 31
0.20243 0.238729 0 31
0.235401 0.238402 0 31
0.241286 0.265523 0 31
0.207675 0.251688 0 31
0.209427 0.21278 0 31
0.20526 0.208411 0 31
0.195077 0.242386 0 31
0.222076 0.246 0 31
0.225819 0.321092 0.89205 12
0.207987 0.315687 0.849541 12
0.224861 0.328599 0.841408 12
0.216331 0.332882 0.801423 12
0.214236 0.337004 0.76048 12
0.212591 0.344829 0.693188 12
0.245184 0.332632 0.686217 12
0.225379 0.352587 0.679422 12
0.221065 0.358134 0.650692 12
0.233183 0.364885 0.568648 12
0.231342 0.299888 0 12
0.304281 0.335572 0 12
0.247984 0.327168 0 12
0.209727 0.278482 0 12
0.25047 0.298461 0 12
0.210499 0.291587 0 12
0.229063 0.303258 0 12
0.226713 0.287256 0 12
0.211796 0.293322 0 12
0.193255 0.28434 0 12
0.213489 0.244866 0.226131 32
0.222694 0.248913 0.220699 32
0.222076 0.246 0.216352 32
0.214563 0.235125 0.207353 32
0.216116 0.234591 0.205326 32
0.221375 0.237043 0.200693 32
0.221007 0.234188 0.196374 32
0.20243 0.238729 0.19327 32
0.217794 0.222118 0.181309 32
0.214923 0.218859 0.179756 32
0.224791 0.232986 0 32
0.203063 0.179531 0 32
0.188136 0.195457 0 32
0.184881 0.221555 0 32
0.19235 0.269202 0 32
0.21363 0.249275 0 32
0.210204 0.224473 0 32
0.179058 0.235799 0 32
0.22727 0.280814 0 32
0.207922 0.283987 0 32
0.226713 0.287256 1.09522 13
0.210499 0.291587 1.07098 13
0.211796 0.293322 1.06638 13
0.231342 0.299888 0.956393 13
0.229063 0.303258 0.951147 13
0.193255 0.28434 0.944445 13
0.207987 0.315687 0.868898 13
0.225819 0.321092 0.847204 13
0.224861 0.328599 0.801511 13
0.25047 0.298461 0.800851 13
0.266935 0.308125 0 13
0.207188 0.236229 0 13
0.242703 0.353821 0 13
0.206179 0.306309 0 13
0.172614 0.341781 0 13
0.177076 0.299902 0 13
0.232575 0.273659 0 13
0.257761 0.277253 0 13
0.217822 0.265067 0 13
0.20889 0.300348 0 13
0.21363 0.249275 0.563995 33
0.22727 0.280814 0.5552 33
0.213489 0.244866 0.554113 33
0.20243 0.238729 0.539611 33
0.214563 0.235125 0.527882 33
0.216116 0.234591 0.519046 33
0.210204 0.224473 0.518866 33
0.222694 0.248913 0.510387 33
0.222076 0.246 0.507841 33
0.214923 0.218859 0.493931 33
0.235028 0.234524 0 33
0.20357 0.21293 0 33
0.219477 0.204048 0 33
0.185513 0.27165 0 33
0.196872 0.240051 0 33
0.223005 0.310497 0 33
0.236692 0.249716 0 33
0.245797 0.280037 0 33
0.194987 0.308333 0 33
0.253747 0.222906 0 33
0.232575 0.273659 1.0986 14
0.226713 0.287256 1.06221 14
0.207188 0.236229 1.02801 14
0.211796 0.293322 0.994827 14
0.210499 0.291587 0.991619 14
0.231342 0.299888 0.980262 14
0.229063 0.303258 0.97142 14
0.20889 0.300348 0.929175 14
0.257761 0.277253 0.925555 14
0.25047 0.298461 0.877467 14
0.226277 0.297129 0 14
0.20927 0.24908 0 14
0.201396 0.271774 0 14
0.266212 0.283079 0 14
0.254436 0.329288 0 14
0.213985 0.262744 0 14
0.21893 0.279286 0 14
0.220152 0.285081 0 14
0.238153 0.286745 0 14
0.204935 0.256303 0 14
0.21363 0.249275 0.647318 34
0.213489 0.244866 0.641765 34
0.196872 0.240051 0.625679 34
0.210204 0.224473 0.624924 34
0.214563 0.235125 0.619714 34
0.20357 0.21293 0.617469 34
0.216116 0.234591 0.607435 34
0.214923 0.218859 0.581535 34
0.222076 0.246 0.578078 34
0.222694 0.248913 0.57743 34
0.215664 0.241594 0 34
0.206754 0.250223 0 34
0.196216 0.213619 0 34
0.194876 0.33575 0 34
0.238959 0.254516 0 34
0.197856 0.267528 0 34
0.221364 0.240316 0 34
0.220341 0.230594 0 34
0.196953 0.210588 0 34
0.229547 0.215513 0 34
0.213985 0.262744 0.777051 15
0.207188 0.236229 0.768997 15
0.204935 0.256303 0.745341 15
0.21893 0.279286 0.670217 15
0.232575 0.273659 0.632732 15
0.220152 0.285081 0.630074 15
0.201396 0.271774 0.614284 15
0.226713 0.287256 0.581708 15
0.210499 0.291587 0.564331 15
0.211796 0.293322 0.561963 15
0.232579 0.257336 0 15
0.194919 0.30284 0 15
0.219 0.33146 0 15
0.206372 0.275509 0 15
0.184279 0.321503 0 15
0.200667 0.301797 0 15
0.193205 0.273044 0 15
0.228776 0.290437 0 15
0.183864 0.238939 0 15
0.185092 0.274129 0 15
0.21363 0.249275 1.02922 35
0.213489 0.244866 1.02284 35
0.215664 0.241594 1.00515 35
0.214563 0.235125 1.00091 35
0.210204 0.224473 0.99537 35
0.197856 0.267528 0.995229 35
0.216116 0.234591 0.99027 35
0.20357 0.21293 0.971477 35
0.222076 0.246 0.968535 35
0.222694 0.248913 0.968376 35
0.203328 0.259898 0 35
0.187527 0.202717 0 35
0.198603 0.185799 0 35
0.222395 0.236846 0 35
0.201202 0.250512 0 35
0.219369 0.268353 0 35
0.231385 0.261509 0 35
0.186825 0.280868 0 35
0.222081 0.304609 0 35
0.196392 0.245834 0 35
0.204935 0.256303 0.752835 16
0.232579 0.257336 0.720798 16
0.21893 0.279286 0.719315 16
0.206372 0.275509 0.694411 16
0.207188 0.236229 0.685579 16
0.220152 0.285081 0.679873 16
0.201396 0.271774 0.676553 16
0.232575 0.273659 0.663604 16
0.226713 0.287256 0.62645 16
0.210499 0.291587 0.620856 16
0.243175 0.276214 0 16
0.197448 0.229976 0 16
0.217085 0.270761 0 16
0.257467 0.27025 0 16
0.195136 0.268345 0 16
0.225137 0.270433 0 16
0.254049 0.249174 0 16
0.234225 0.249989 0 16
0.194101 0.286656 0 16
0.249025 0.312429 0 16
0.203328 0.259898 0.661602 36
0.197856 0.267528 0.63177 36
0.196392 0.245834 0.623958 36
0.20357 0.21293 0.595481 36
0.21363 0.249275 0.580447 36
0.213489 0.244866 0.579319 36
0.210204 0.224473 0.575324 36
